Date,DBC,EEM,EFA,GLD,IEF,IWM,LQD,QQQ,SHY,SPY,TLT,USO,VNQ,XLF,XLK
2018-02-01,15.092110633850098,42.523704528808594,59.18446350097656,128.07000732421875,86.27266693115234,142.2738800048828,91.17135620117188,159.6042022705078,71.11067199707031,249.24830627441406,98.0125961303711,105.91999816894531,57.70936965942383,25.902812957763672,63.399654388427734
2018-02-02,14.847418785095215,41.43400573730469,57.9855842590332,126.38999938964844,85.95310974121094,139.53448486328125,90.70491790771484,156.42088317871094,71.11917877197266,243.82211303710938,97.10310363769531,104.31999969482422,57.219417572021484,25.333324432373047,61.52107620239258
2018-02-05,14.707596778869629,39.9810791015625,55.55586242675781,126.70999908447266,86.6594467163086,134.17376708984375,90.75846099853516,150.25375366210938,71.24687194824219,233.6248779296875,98.02069854736328,102.16000366210938,55.519466400146484,24.056306838989258,58.94844055175781
2018-02-06,14.620207786560059,41.28196334838867,56.65083312988281,125.37999725341797,86.28106689453125,135.7792205810547,90.5749282836914,154.2352752685547,71.19581604003906,238.22781372070312,97.41165161132812,101.5999984741211,55.526885986328125,24.496360778808594,60.64192581176758
2018-02-07,14.454168319702148,39.9810791015625,56.05139923095703,124.79000091552734,86.02882385253906,135.91529846191406,90.32254028320312,152.23976135253906,71.14473724365234,236.93545532226562,96.48597717285156,98.95999908447266,55.28936767578125,24.513620376586914,59.86460494995117
2018-02-08,14.3056058883667,38.59572219848633,54.58877944946289,124.9800033569336,86.10448455810547,131.92422485351562,89.93251037597656,145.81605529785156,71.1532211303711,228.04827880859375,96.38037109375,96.72000122070312,53.70075225830078,23.435041427612305,57.38450622558594
2018-02-09,14.095871925354004,39.212371826171875,54.820560455322266,124.7699966430664,85.95310974121094,133.13059997558594,89.64190673828125,148.33428955078125,71.21282958984375,231.47389221191406,95.77140045166016,94.87999725341797,55.04438400268555,23.88373374938965,58.79111862182617
2018-02-12,14.18326187133789,39.82902908325195,55.659767150878906,125.37000274658203,85.92784118652344,134.3914337158203,89.64190673828125,150.96653747558594,71.17877960205078,234.8730010986328,96.1936264038086,95.12000274658203,55.066650390625,24.220247268676758,59.84608840942383
2018-02-13,14.209478378295898,40.13312530517578,55.491920471191406,126.08000183105469,86.07081604003906,134.68170166015625,89.611328125,151.74563598632812,71.17877960205078,235.4571990966797,96.6240005493164,94.95999908447266,55.45266342163086,24.32378387451172,59.99415588378906
2018-02-14,14.427950859069824,41.138362884521484,56.475013732910156,128.22999572753906,85.54949951171875,137.1035614013672,89.28248596191406,154.58689880371094,71.0765609741211,238.63499450683594,95.55213165283203,97.44000244140625,55.05180358886719,24.901901245117188,61.09540557861328
2018-02-15,14.454168319702148,41.98308181762695,56.82667922973633,128.3800048828125,85.57471466064453,138.60023498535156,89.70309448242188,157.45668029785156,71.05099487304688,241.6800537109375,95.87691497802734,98.63999938964844,55.586273193359375,25.03995132446289,62.261409759521484
2018-02-16,14.48038387298584,41.84792709350586,57.08244323730469,127.95999908447266,85.77652740478516,139.09011840820312,89.97074127197266,156.75347900390625,71.06809997558594,241.7507781982422,96.3966064453125,99.04000091552734,55.8906364440918,25.005443572998047,62.16886520385742
2018-02-20,14.524080276489258,41.27351760864258,56.54694366455078,126.23999786376953,85.68405151367188,137.94717407226562,89.58837127685547,157.06707763671875,71.05953979492188,240.23716735839844,95.97434997558594,99.12000274658203,55.22996139526367,24.927785873413086,62.224388122558594
2018-02-21,14.506601333618164,41.23971939086914,56.27518844604492,125.66000366210938,85.43177032470703,138.09230041503906,89.09896850585938,156.62045288085938,71.06809997558594,239.04217529296875,94.79690551757812,98.31999969482422,54.13871383666992,24.962303161621094,61.826480865478516
2018-02-22,14.63768482208252,41.26506805419922,56.5709114074707,126.30000305175781,85.54949951171875,137.8745880126953,89.2212905883789,156.60145568847656,71.0765609741211,239.3519744873047,95.08114624023438,100.72000122070312,54.754859924316406,24.755210876464844,61.90048599243164
2018-02-23,14.733813285827637,41.99998474121094,57.018489837646484,126.13999938964844,85.87744903564453,139.6706085205078,89.63429260253906,159.80380249023438,71.09361267089844,243.16712951660156,95.92564392089844,102.16000366210938,55.63081359863281,25.126239776611328,63.19605255126953
2018-02-26,14.812463760375977,42.38855743408203,57.553985595703125,126.44999694824219,85.97833251953125,140.58673095703125,89.74899291992188,161.9228515625,71.10213470458984,245.99081420898438,95.95813751220703,102.87999725341797,55.786705017089844,25.505895614624023,64.18624877929688
2018-02-27,14.66390323638916,41.155242919921875,56.69879150390625,125.12999725341797,85.70924377441406,138.56394958496094,89.35893249511719,159.91781616210938,71.05099487304688,242.91915893554688,95.82007598876953,101.19999694824219,54.48761749267578,25.264293670654297,63.53846740722656
2018-02-28,14.506601333618164,40.563941955566406,56.16329574584961,125.0,85.91105651855469,136.3779296875,89.5271987915039,158.8915557861328,71.06809997558594,240.45846557617188,96.42911529541016,98.95999908447266,54.45049285888672,24.910526275634766,63.084999084472656
2018-03-01,14.532817840576172,40.4879150390625,55.220176696777344,124.72000122070312,86.28079223632812,136.01507568359375,89.43516540527344,156.29736328125,71.16696166992188,236.96206665039062,97.08735656738281,98.80000305175781,54.50245666503906,24.47909927368164,62.0393180847168
2018-03-02,14.532817840576172,40.656856536865234,55.48393630981445,125.38999938964844,85.96077728271484,138.19203186035156,89.15144348144531,157.73228454589844,71.13285064697266,238.18357849121094,96.298095703125,98.95999908447266,54.48019790649414,24.539499282836914,62.63156509399414
2018-03-05,14.620207786560059,40.71598815917969,55.779659271240234,125.18000030517578,85.85126495361328,139.42568969726562,89.12075805664062,159.48074340820312,71.13285064697266,240.93641662597656,96.03770446777344,100.72000122070312,55.09632873535156,24.8846378326416,63.27009963989258
2018-03-06,14.67264175415039,41.09611892700195,56.107337951660156,126.52999877929688,85.84285736083984,140.931396484375,89.19744873046875,160.15541076660156,71.11585235595703,241.5472412109375,96.12725067138672,100.55999755859375,55.35614776611328,24.988187789916992,63.40890121459961
2018-03-07,14.515341758728027,41.138362884521484,56.09135818481445,125.72000122070312,85.84285736083984,142.17410278320312,89.1667709350586,160.52598571777344,71.11585235595703,241.45867919921875,96.0215072631836,98.80000305175781,55.697635650634766,24.945045471191406,63.760562896728516
2018-03-08,14.427950859069824,41.14680862426758,56.21125411987305,125.41999816894531,86.01972961425781,141.8838653564453,89.3431396484375,161.40972900390625,71.13285064697266,242.62718200683594,96.57476043701172,97.19999694824219,55.80155944824219,25.02269744873047,64.03819274902344
2018-03-09,14.567774772644043,42.02531433105469,56.5709114074707,125.54000091552734,85.83441925048828,144.15151977539062,89.02870178222656,164.5455780029297,71.09873962402344,246.8494110107422,95.94007873535156,99.76000213623047,56.10590744018555,25.626693725585938,65.25048828125
2018-03-12,14.541557312011719,42.126686096191406,56.634849548339844,125.54000091552734,86.03653717041016,144.40545654296875,89.14374542236328,165.4197998046875,71.13285064697266,246.5395965576172,96.49337768554688,98.95999908447266,56.35089111328125,25.54041290283203,65.45406341552734
